year,month,starthour,season,weekday,trips
2019,Mar,07,Spring,Sunday,1902
2019,Mar,07,Spring,Thursday,10421
2019,Mar,07,Spring,Tuesday,11357
2019,Mar,07,Spring,Wednesday,11141
2019,Mar,08,Spring,Friday,18697
2019,Mar,08,Spring,Monday,17479
2019,Mar,08,Spring,Saturday,5297
2019,Mar,08,Spring,Sunday,4006
2019,Mar,08,Spring,Thursday,17576
2019,Mar,08,Spring,Tuesday,20335
2019,Mar,08,Spring,Wednesday,19951
2019,Mar,09,Spring,Friday,15193
2019,Mar,09,Spring,Monday,12815
2019,Mar,09,Spring,Saturday,8781
2019,Mar,09,Spring,Sunday,6900
2019,Mar,09,Spring,Thursday,13307
2019,Mar,09,Spring,Tuesday,14459
2019,Mar,09,Spring,Wednesday,15004
2019,Mar,10,Spring,Friday,9186
2019,Mar,10,Spring,Monday,6999
2019,Mar,10,Spring,Saturday,11951
2019,Mar,10,Spring,Sunday,9754
2019,Mar,10,Spring,Thursday,7015
2019,Mar,10,Spring,Tuesday,7671
2019,Mar,10,Spring,Wednesday,8186
2019,Mar,11,Spring,Friday,8986
2019,Mar,11,Spring,Monday,6621
2019,Mar,11,Spring,Saturday,14407
2019,Mar,11,Spring,Sunday,10910
2019,Mar,11,Spring,Thursday,6736
2019,Mar,11,Spring,Tuesday,7054
2019,Mar,11,Spring,Wednesday,7693
2019,Mar,12,Spring,Friday,11018
2019,Mar,12,Spring,Monday,7747
2019,Mar,12,Spring,Saturday,16686
2019,Mar,12,Spring,Sunday,12866
2019,Mar,12,Spring,Thursday,7908
2019,Mar,12,Spring,Tuesday,8196
2019,Mar,12,Spring,Wednesday,8889
2019,Mar,13,Spring,Friday,11993
2019,Mar,13,Spring,Monday,8240
2019,Mar,13,Spring,Saturday,18460
2019,Mar,13,Spring,Sunday,14112
2019,Mar,13,Spring,Thursday,7968
2019,Mar,13,Spring,Tuesday,8591
2019,Mar,13,Spring,Wednesday,9014
2019,Mar,14,Spring,Friday,12926
2019,Mar,14,Spring,Monday,8713
2019,Mar,14,Spring,Saturday,18669
2019,Mar,14,Spring,Sunday,14347
2019,Mar,14,Spring,Thursday,8350
2019,Mar,14,Spring,Tuesday,8734
2019,Mar,14,Spring,Wednesday,9374
2019,Mar,15,Spring,Friday,13913
2019,Mar,15,Spring,Monday,9555
2019,Mar,15,Spring,Saturday,18927
2019,Mar,15,Spring,Sunday,14937
2019,Mar,15,Spring,Thursday,9315
2019,Mar,15,Spring,Tuesday,9664
2019,Mar,15,Spring,Wednesday,10166
2019,Mar,16,Spring,Friday,17625
2019,Mar,16,Spring,Monday,12342
2019,Mar,16,Spring,Saturday,18232
2019,Mar,16,Spring,Sunday,14757
2019,Mar,16,Spring,Thursday,10982
2019,Mar,16,Spring,Tuesday,12329
2019,Mar,16,Spring,Wednesday,12531
2019,Mar,17,Spring,Friday,25726
2019,Mar,17,Spring,Monday,20922
2019,Mar,17,Spring,Saturday,16540
2019,Mar,17,Spring,Sunday,13777
2019,Mar,17,Spring,Thursday,17722
2019,Mar,17,Spring,Tuesday,20883
2019,Mar,17,Spring,Wednesday,20425
2019,Mar,18,Spring,Friday,22390
